threshold,false_cut_rate,mean_delay_s,p50_delay_s,n_turns
0.7,0.03,1.472,1.6,200
0.705,0.025,1.472,1.6,200
0.71,0.025,1.48,1.6,200
0.715,0.02,1.496,1.6,200
0.72,0.02,1.496,1.6,200
0.725,0.02,1.504,1.6,200
0.73,0.02,1.528,1.6,200
0.735,0.02,1.528,1.6,200
0.74,0.02,1.528,1.6,200
0.745,0.02,1.536,1.6,200
0.75,0.02,1.5439999999999998,1.6,200
0.755,0.02,1.5439999999999998,1.6,200
0.76,0.02,1.5439999999999998,1.6,200
0.765,0.02,1.5439999999999998,1.6,200
0.77,0.015,1.5439999999999998,1.6,200
0.775,0.01,1.5519999999999998,1.6,200
0.78,0.01,1.56,1.6,200
0.785,0.01,1.56,1.6,200
0.79,0.01,1.56,1.6,200
0.795,0.01,1.56,1.6,200
0.8,0.01,1.56,1.6,200
0.805,0.01,1.56,1.6,200
0.81,0.005,1.568,1.6,200
0.815,0.0,1.568,1.6,200
0.82,0.0,1.5839999999999999,1.6,200
0.825,0.0,1.5839999999999999,1.6,200
0.83,0.0,1.5839999999999999,1.6,200
0.835,0.0,1.5839999999999999,1.6,200
0.84,0.0,1.5839999999999999,1.6,200
0.845,0.0,1.5839999999999999,1.6,200
0.85,0.0,1.5839999999999999,1.6,200
0.855,0.0,1.5839999999999999,1.6,200
0.86,0.0,1.5839999999999999,1.6,200
0.865,0.0,1.5839999999999999,1.6,200
0.87,0.0,1.5839999999999999,1.6,200
0.875,0.0,1.5839999999999999,1.6,200
0.88,0.0,1.6,1.6,200
0.885,0.0,1.6,1.6,200
0.89,0.0,1.6,1.6,200
0.895,0.0,1.6,1.6,200
0.9,0.0,1.6,1.6,200
0.905,0.0,1.6,1.6,200
0.91,0.0,1.6,1.6,200
0.915,0.0,1.6,1.6,200
0.92,0.0,1.6,1.6,200
0.925,0.0,1.6,1.6,200
0.93,0.0,1.6,1.6,200
0.935,0.0,1.6,1.6,200
0.94,0.0,1.6,1.6,200
0.945,0.0,1.6,1.6,200
0.95,0.0,1.6,1.6,200
0.955,0.0,1.6,1.6,200
0.96,0.0,1.6,1.6,200
0.965,0.0,1.6,1.6,200
0.97,0.0,1.6,1.6,200
0.975,0.0,1.6,1.6,200
0.98,0.0,1.6,1.6,200
0.985,0.0,1.6,1.6,200
0.99,0.0,1.6,1.6,200
